City/Town,County,POPESTIMATE2018,Count_0603,Rate_0603,Count_0610,Rate_0610,Count_0617,Rate_0617,Count_0624,Rate_0624,Count_0701,Rate_0701,Count_0708,Rate_0708,Count_0715,Rate_0715,Count_0722,Rate_0722,Count_0729,Rate_0729,Count_0805,Rate_0805,Count_0812,Rate_0812,Count_0819,Rate_0819,Count_0826,Rate_0826,Count_0902,Rate_0902,Count_0909,Rate_0909,Count_0916,Rate_0916,Count_0923,Rate_0923,Count_0930,Rate_0930,Count_1007,Rate_1007,Count_1014,Rate_1014,Count_1022,Rate_1022,Count_1029,Rate_1029,Count_1106,Rate_1106,Count_1112,Rate_1112,Count_1119,Rate_1119,Count_1127,Rate_1127,Count_1203,Rate_1203,Count_1210,Rate_1210,Count_1217,Rate_1217,Count_1224,Rate_1224,Count_1231,Rate_1231,Rate_Vel_0610,Rate_Vel_0617,Rate_Vel_0624,Rate_Vel_0701,Rate_Vel_0708,Rate_Vel_0715,Rate_Vel_0722,Rate_Vel_0729,Rate_Vel_0805,Rate_Vel_0812,Rate_Vel_0819,Rate_Vel_0826,Rate_Vel_0902,Rate_Vel_0909,Rate_Vel_0916,Rate_Vel_0923,Rate_Vel_0930,Rate_Vel_1007,Rate_Vel_1014,Rate_Vel_1022,Rate_Vel_1029,Rate_Vel_1106,Rate_Vel_1112,Rate_Vel_1119,Rate_Vel_1127,Rate_Vel_1203,Rate_Vel_1210,Rate_Vel_1217,Rate_Vel_1224,Rate_Vel_1231,Rate_Acc_0617,Rate_Acc_0624,Rate_Acc_0701,Rate_Acc_0708,Rate_Acc_0715,Rate_Acc_0722,Rate_Acc_0729,Rate_Acc_0805,Rate_Acc_0812,Rate_Acc_0819,Rate_Acc_0826,Rate_Acc_0902,Rate_Acc_0909,Rate_Acc_0916,Rate_Acc_0923,Rate_Acc_0930,Rate_Acc_1007,Rate_Acc_1014,Rate_Acc_1022,Rate_Acc_1029,Rate_Acc_1106,Rate_Acc_1112,Rate_Acc_1119,Rate_Acc_1127,Rate_Acc_1203,Rate_Acc_1210,Rate_Acc_1217,Rate_Acc_1224,Rate_Acc_1231
Ashby,Middlesex,3234,15,433.84,15,433.84,15,433.84,15,433.84,15,433.84,15,433.84,15,433.84,15,433.84,15,433.84,15,433.84,15,433.84,17,491.6853333,18,520.608,18,520.608,18,520.608,18,520.608,18,520.608,18,520.608,18,520.608,18,520.608,19,549.5306667,23,665.2213333,26,751.9893333,30,867.68,43,1243.674667,51,1475.056,58,1677.514667,62,1793.205333,68,1966.741333,76,2198.122667,84,2429.504,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,57.85,28.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.92,115.69,86.77,115.69,375.99,231.38,202.46,115.69,173.54,231.38,231.38,0,0,0,0,0,0,0,0,0,57.85,-28.92,-28.92,0,0,0,0,0,0,28.92,86.77,-28.92,28.92,260.3,-144.61,-28.92,-86.77,57.85,57.85,0
Ashfield,Franklin,1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,346.0207612,6,346.0207612,6,346.0207612,6,346.0207612,7,403.6908881,7,403.6908881,7,403.6908881,7,403.6908881,8,461.361015,8,461.361015,8,461.361015,8,461.361015,9,519.0311419,12,692.0415225,15,865.0519031,16,922.72203,17,980.3921569,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,346.02,0.00,0.00,0.00,57.67,0.00,0.00,0.00,57.67,0.00,0.00,0.00,57.67,173.01,173.01,57.67,57.67,0,0,0,0,0,0,0,0,0,0,0,0,346.02,-346.02,0,0,57.67,-57.67,0,0,57.67,-57.67,0,0,57.67,115.34,0,-115.34,0
Ashland,Middlesex,17739,243,1246.62,246,1262.01,245,1256.88,247,1267.12,247,1267.14,248,1272.27,251,1287.660363,252,1292.790484,256,1313.310968,262,1344.091694,264,1354.351935,269,1380.00254,273,1400.523024,284,1456.954355,288,1477.474839,299,1533.906169,304,1559.556774,308,1580.077258,311,1595.467621,324,1662.159194,347,1780.151976,362,1857.10379,393,2016.13754,435,2231.602621,474,2431.677339,513,2631.752056,567,2908.778589,650,3334.578629,707,3626.995524,763,3914.282298,822,4216.959435,15.39,-5.13,10.24,0.02,5.13,15.39,5.13,20.52,30.78,10.26,25.65,20.52,56.43,20.52,56.43,25.65,20.52,15.39,66.69,117.99,76.95,159.03,215.47,200.07,200.07,277.03,425.80,292.42,287.29,302.68,-20.52,15.37,-10.22,5.11,10.26,-10.26,15.39,10.26,-20.52,15.39,-5.13,35.91,-35.91,35.91,-30.78,-5.13,-5.13,51.3,51.3,-41.04,82.08,56.43,-15.39,0,76.95,148.77,-133.38,-5.13,15.39
Athol,Worcester,11753,58,484.74,62,518.17,62,518.17,63,526.53,65,543.25,67,559.96,67,559.96,68,568.3176119,68,568.3176119,69,576.6752239,69,576.6752239,80,668.6089552,81,676.9665672,81,676.9665672,83,693.681791,85,710.3970149,86,718.7546269,90,752.1850746,93,777.2579104,94,785.6155224,96,802.3307463,110,919.3373134,120,1002.913433,129,1078.13194,139,1161.70806,146,1220.211343,161,1345.575522,191,1596.303881,243,2030.899701,303,2532.356418,341,2849.945672,33.43,0,8.36,16.72,16.71,0.00,8.36,0.00,8.36,0.00,91.93,8.36,0.00,16.72,16.72,8.36,33.43,25.07,8.36,16.72,117.01,83.58,75.22,83.58,58.50,125.36,250.73,434.60,501.46,317.59,-33.43,8.36,8.36,-0.01,-16.71,8.36,-8.36,8.36,-8.36,91.93,-83.58,-8.36,16.72,0,-8.36,25.07,-8.36,-16.72,8.36,100.29,-33.43,-8.36,8.36,-25.07,66.86,125.36,183.87,66.86,-183.87
Attleboro,Bristol ,45117,625,1350.83,646,1396.22,650,1404.86,654,1413.51,661,1428.64,666,1439.45,671,1450.256682,679,1467.547372,686,1482.676727,700,1512.935435,711,1536.710135,717,1549.678153,726,1569.13018,744,1608.034234,763,1649.099625,787,1700.971697,815,1761.489114,852,1841.458559,887,1917.10533,934,2018.688138,958,2070.56021,995,2150.529655,1050,2269.403153,1145,2474.730105,1290,2788.123874,1438,3108.001652,1560,3371.684685,1809,3909.857432,2012,4348.608709,2173,4696.583859,2355,5089.947072,45.39,8.64,8.65,15.13,10.81,10.81,17.29,15.13,30.26,23.77,12.97,19.45,38.90,41.07,51.87,60.52,79.97,75.65,101.58,51.87,79.97,118.87,205.33,313.39,319.88,263.68,538.17,438.75,347.98,393.36,-36.75,0.01,6.48,-4.32,0,6.48,-2.16,15.13,-6.48,-10.81,6.48,19.45,2.16,10.81,8.65,19.45,-4.32,25.94,-49.71,28.1,38.9,86.45,108.07,6.48,-56.19,274.49,-99.42,-90.78,45.39
Auburn,Worcester,16782,205,1243,209,1267.25,213,1291.5,213,1291.5,214,1297.57,216,1309.69,217,1315.75338,220,1333.943519,223,1352.133657,232,1406.704074,233,1412.767454,236,1430.957593,240,1455.211111,245,1485.528009,245,1485.528009,250,1515.844907,256,1552.225185,264,1600.732222,275,1667.429398,283,1715.936435,289,1752.316713,299,1812.950509,315,1909.964583,348,2110.056111,390,2364.718056,432,2619.38,487,2952.86588,577,3498.570046,681,4129.161528,808,4899.210741,893,5414.598009,24.25,24.25,0,6.07,12.12,6.06,18.19,18.19,54.57,6.06,18.19,24.25,30.32,0.00,30.32,36.38,48.51,66.70,48.51,36.38,60.63,97.01,200.09,254.66,254.66,333.49,545.70,630.59,770.05,515.39,0,-24.25,6.07,6.05,-6.06,12.13,0,36.38,-48.51,12.13,6.06,6.06,-30.32,30.32,6.06,12.13,18.19,-18.19,-12.13,24.25,36.38,103.08,54.57,0,78.82,212.22,84.89,139.46,-254.66
Avon,Norfolk,4519,68,1552.27,70,1597.92,72,1643.58,72,1643.58,73,1666.4,74,1689.23,76,1734.884865,77,1757.712297,80,1826.194595,81,1849.022027,81,1849.022027,81,1849.022027,82,1871.849459,82,1871.849459,82,1871.849459,82,1871.849459,85,1940.331757,89,2031.641486,90,2054.468919,92,2100.123784,97,2214.260946,98,2237.088378,105,2396.880405,112,2556.672432,122,2784.946757,130,2967.566216,137,3127.358243,159,3629.561757,189,4314.38473,220,5022.035135,237,5410.101486,45.65,45.66,0,22.82,22.83,45.65,22.83,68.48,22.83,0.00,0.00,22.83,0.00,0.00,0.00,68.48,91.31,22.83,45.65,114.14,22.83,159.79,159.79,228.27,182.62,159.79,502.20,684.82,707.65,388.07,0.01,-45.66,22.82,0.01,22.82,-22.83,45.65,-45.65,-22.83,0,22.83,-22.83,0,0,68.48,22.83,-68.48,22.83,68.48,-91.31,136.96,0,68.48,-45.65,-22.83,342.41,182.62,22.83,-319.58
Ayer,Middlesex,8164,114,1410.89,121,1497.53,130,1608.91,136,1683.17,140,1732.68,142,1757.43,142,1757.43,144,1782.182535,144,1782.182535,146,1806.93507,147,1819.311338,148,1831.687606,149,1844.063873,149,1844.063873,149,1844.063873,150,1856.440141,151,1868.816408,152,1881.192676,153,1893.568944,157,1943.074014,159,1967.826549,162,2004.955352,163,2017.33162,169,2091.589225,175,2165.846831,190,2351.490845,202,2500.006056,229,2834.165282,274,3391.097324,337,4170.802183,426,5272.29,86.64,111.38,74.26,49.51,24.75,0.00,24.75,0.00,24.75,12.38,12.38,12.38,0.00,0.00,12.38,12.38,12.38,12.38,49.51,24.75,37.13,12.38,74.26,74.26,185.64,148.52,334.16,556.93,779.70,1101.49,24.74,-37.12,-24.75,-24.76,-24.75,24.75,-24.75,24.75,-12.38,0,0,-12.38,0,12.38,0,0,0,37.13,-24.75,12.38,-24.75,61.88,0,111.39,-37.13,185.64,222.77,222.77,321.78
Barnstable,Barnstable,44460,349,778.23,359,800.53,359,800.53,362,807.22,365,813.91,368,820.6,373,831.7494565,382,851.8184783,391,871.8875,400,891.9565217,407,907.5657609,409,912.0255435,415,925.4048913,439,978.9222826,446,994.5315217,451,1005.680978,458,1021.290217,471,1050.278804,481,1072.577717,496,1106.026087,507,1130.554891,539,1201.911413,564,1257.658696,604,1346.854348,712,1587.682609,935,2084.94837,1092,2435.041304,1231,2744.996196,1377,3070.560326,1531,3413.963587,1691,3770.746196,22.3,0,6.69,6.69,6.69,11.15,20.07,20.07,20.07,15.61,4.46,13.38,53.52,15.61,11.15,15.61,28.99,22.30,33.45,24.53,71.36,55.75,89.20,240.83,497.27,350.09,309.95,325.56,343.40,356.78,-22.3,6.69,0,0,4.46,8.92,0,0,-4.46,-11.15,8.92,40.14,-37.91,-4.46,4.46,13.38,-6.69,11.15,-8.92,46.83,-15.61,33.45,151.63,256.44,-147.17,-40.14,15.61,17.84,13.38
Barre,Worcester,5592,56,1007.6,58,1043.58,61,1097.56,62,1115.56,62,1115.56,62,1115.56,62,1115.56,62,1115.56,62,1115.56,62,1115.56,62,1115.56,62,1115.56,62,1115.56,63,1133.552903,65,1169.53871,65,1169.53871,65,1169.53871,68,1223.517419,68,1223.517419,71,1277.496129,71,1277.496129,75,1349.467742,76,1367.460645,82,1475.418065,84,1511.403871,89,1601.368387,94,1691.332903,110,1979.219355,124,2231.12,132,2375.063226,143,2572.985161,35.98,53.98,18,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.99,35.99,0.00,0.00,53.98,0.00,53.98,0.00,71.97,17.99,107.96,35.99,89.96,89.96,287.89,251.90,143.94,197.92,18,-35.98,-18,0,0,0,0,0,0,0,0,17.99,17.99,-35.99,0,53.98,-53.98,53.98,-53.98,71.97,-53.98,89.96,-71.97,53.98,0,197.92,-35.99,-107.96,53.98
