City/Town,County,POPESTIMATE2018,Count_0603,Rate_0603,Count_0610,Rate_0610,Count_0617,Rate_0617,Count_0624,Rate_0624,Count_0701,Rate_0701,Count_0708,Rate_0708,Count_0715,Rate_0715,Count_0722,Rate_0722,Count_0729,Rate_0729,Count_0805,Rate_0805,Count_0812,Rate_0812,Count_0819,Rate_0819,Count_0826,Rate_0826,Count_0902,Rate_0902,Count_0909,Rate_0909,Count_0916,Rate_0916,Count_0923,Rate_0923,Count_0930,Rate_0930,Count_1007,Rate_1007,Count_1014,Rate_1014,Count_1022,Rate_1022,Count_1029,Rate_1029,Count_1106,Rate_1106,Count_1112,Rate_1112,Count_1119,Rate_1119,Count_1127,Rate_1127,Count_1203,Rate_1203,Count_1210,Rate_1210,Count_1217,Rate_1217,Count_1224,Rate_1224,Count_1231,Rate_1231,Rate_Vel_0610,Rate_Vel_0617,Rate_Vel_0624,Rate_Vel_0701,Rate_Vel_0708,Rate_Vel_0715,Rate_Vel_0722,Rate_Vel_0729,Rate_Vel_0805,Rate_Vel_0812,Rate_Vel_0819,Rate_Vel_0826,Rate_Vel_0902,Rate_Vel_0909,Rate_Vel_0916,Rate_Vel_0923,Rate_Vel_0930,Rate_Vel_1007,Rate_Vel_1014,Rate_Vel_1022,Rate_Vel_1029,Rate_Vel_1106,Rate_Vel_1112,Rate_Vel_1119,Rate_Vel_1127,Rate_Vel_1203,Rate_Vel_1210,Rate_Vel_1217,Rate_Vel_1224,Rate_Vel_1231,Rate_Acc_0617,Rate_Acc_0624,Rate_Acc_0701,Rate_Acc_0708,Rate_Acc_0715,Rate_Acc_0722,Rate_Acc_0729,Rate_Acc_0805,Rate_Acc_0812,Rate_Acc_0819,Rate_Acc_0826,Rate_Acc_0902,Rate_Acc_0909,Rate_Acc_0916,Rate_Acc_0923,Rate_Acc_0930,Rate_Acc_1007,Rate_Acc_1014,Rate_Acc_1022,Rate_Acc_1029,Rate_Acc_1106,Rate_Acc_1112,Rate_Acc_1119,Rate_Acc_1127,Rate_Acc_1203,Rate_Acc_1210,Rate_Acc_1217,Rate_Acc_1224,Rate_Acc_1231
Erving,Franklin,1774,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,6,286.53,7,334.285,8,382.04,8,382.04,11,525.305,11,525.305,15,716.325,18,859.59,22,1050.61,27,1289.385,30,1432.65,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.76,47.76,0.00,143.27,0.00,191.02,143.27,191.02,238.78,143.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.76,0,-47.76,143.27,-143.27,191.02,-47.76,47.76,47.75,-95.51
Essex,Essex,3789,23,618.17,23,618.17,23,618.17,24,645.04,24,645.04,24,645.04,24,645.04,24,645.04,24,645.04,24,645.04,24,645.04,24,645.04,24,645.04,24,645.04,24,645.04,25,671.9166667,26,698.7933333,28,752.5466667,29,779.4233333,29,779.4233333,29,779.4233333,29,779.4233333,30,806.3,32,860.0533333,32,860.0533333,36,967.56,39,1048.19,49,1316.956667,63,1693.23,71,1908.243333,81,2177.01,0,0,26.87,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.88,26.88,53.75,26.88,0.00,0.00,0.00,26.88,53.75,0.00,107.51,80.63,268.77,376.27,215.01,268.77,0,26.87,-26.87,0,0,0,0,0,0,0,0,0,0,26.88,0,26.88,-26.88,-26.88,0,0,26.88,26.88,-53.75,107.51,-26.88,188.14,107.51,-161.26,53.75
Everett,Middlesex,46880,1647,3393.33,1692,3486.04,1724,3551.97,1747,3599.36,1765,3636.45,1770,3646.75,1800,3708.559322,1823,3755.946469,1843,3797.152684,1894,3902.228531,1925,3966.098164,1963,4044.389972,2025,4172.129237,2083,4291.62726,2149,4427.607768,2185,4501.778955,2227,4588.312006,2281,4699.568785,2364,4870.574576,2458,5064.243785,2525,5202.284605,2636,5430.979096,2783,5733.844774,3009,6199.475,3252,6700.130508,3471,7151.338559,3750,7726.165254,4121,8490.540537,4551,9376.474153,4930,10157.33192,5276,10870.19944,92.71,65.93,47.39,37.09,10.3,61.81,47.39,41.21,105.08,63.87,78.29,127.74,119.50,135.98,74.17,86.53,111.26,171.01,193.67,138.04,228.69,302.87,465.63,500.66,451.21,574.83,764.38,885.93,780.86,712.87,-26.78,-18.54,-10.3,-26.79,51.51,-14.42,-6.18,63.87,-41.21,14.42,49.45,-8.24,16.48,-61.81,12.36,24.72,59.75,22.66,-55.63,90.65,74.17,162.76,35.03,-49.45,123.62,189.55,121.56,-105.08,-67.99
Fairhaven,Bristol ,16094,227,1416.05,236,1472.19,240,1497.14,240,1497.14,241,1503.38,243,1515.86,242,1509.621893,247,1540.812428,246,1534.574321,247,1540.812428,251,1565.764856,254,1584.479177,255,1590.717284,257,1603.193498,259,1615.669712,264,1646.860247,270,1684.288889,274,1709.241317,285,1777.860494,297,1852.717778,309,1927.575062,346,2158.385021,391,2439.099835,436,2719.81465,493,3075.386749,540,3368.577778,606,3780.29284,712,4441.532181,784,4890.675885,861,5371.010123,971,6057.201893,56.14,24.95,0,6.24,12.48,-6.24,31.19,-6.24,6.24,24.95,18.71,6.24,12.48,12.48,31.19,37.43,24.95,68.62,74.86,74.86,230.81,280.71,280.71,355.57,293.19,411.72,661.24,449.14,480.33,686.19,-31.19,-24.95,6.24,6.24,-18.72,37.43,-37.43,12.48,18.71,-6.24,-12.48,6.24,0,18.71,6.24,-12.48,43.67,6.24,0,155.95,49.9,0,74.86,-62.38,118.52,249.52,-212.1,31.19,205.86
Fall River,Bristol ,89661,1363,1523.8,1472,1645.66,1543,1725.04,1566,1750.75,1595,1783.18,1622,1813.36,1664,1860.315068,1703,1903.916202,1756,1963.169026,1818,2032.48365,1855,2073.848829,1873,2093.972429,1887,2109.624118,1947,2176.702787,1983,2216.949988,2027,2266.141011,2080,2325.393835,2130,2381.292725,2172,2428.247793,2231,2494.208483,2315,2588.118619,2578,2882.146782,2887,3227.601924,3406,3807.832404,4069,4549.051689,4580,5120.338348,4973,5559.703625,5802,6486.507226,6426,7184.125376,7079,7914.164883,7813,8734.760592,121.86,79.38,25.71,32.43,30.18,46.96,43.60,59.25,69.31,41.37,20.12,15.65,67.08,40.25,49.19,59.25,55.90,46.96,65.96,93.91,294.03,345.46,580.23,741.22,571.29,439.37,926.80,697.62,730.04,820.60,-42.48,-53.67,6.72,-2.25,16.78,-3.35,15.65,10.06,-27.95,-21.24,-4.47,51.43,-26.83,8.94,10.06,-3.35,-8.94,19.01,27.95,200.12,51.43,234.78,160.99,-169.93,-131.92,487.44,-229.19,32.42,90.56
Falmouth,Barnstable,31019,185,591.97,186,595.17,195,623.97,201,643.17,202,646.37,204,652.77,206,659.1697059,208,665.5694118,229,732.7663235,235,751.9654412,239,764.7648529,241,771.1645588,241,771.1645588,246,787.1638235,252,806.3629412,260,831.9617647,265,847.9610294,272,870.36,281,899.1586765,286,915.1579412,289,924.7575,296,947.1564706,309,988.7545588,323,1033.5525,339,1084.750147,367,1174.346029,421,1347.138088,495,1583.927206,563,1801.517206,627,2006.307794,685,2191.899265,3.2,28.8,19.2,3.2,6.4,6.40,6.40,67.20,19.20,12.80,6.40,0.00,16.00,19.20,25.60,16.00,22.40,28.80,16.00,9.60,22.40,41.60,44.80,51.20,89.60,172.79,236.79,217.59,204.79,185.59,25.6,-9.6,-16,3.2,0,0,60.8,-48,-6.4,-6.4,-6.4,16,3.2,6.4,-9.6,6.4,6.4,-12.8,-6.4,12.8,19.2,3.2,6.4,38.4,83.2,64,-19.2,-12.8,-19.2
Fitchburg,Worcester,40882,758,1798.22,775,1838.55,776,1840.93,786,1864.65,795,1886,800,1897.86,803,1904.976975,811,1923.955575,814,1931.07255,824,1954.7958,839,1990.380675,846,2006.98695,851,2018.848575,860,2040.1995,870,2063.92275,875,2075.784375,879,2085.273675,884,2097.1353,894,2120.85855,907,2151.698775,935,2218.123875,1058,2509.91985,1177,2792.226525,1354,3212.12805,1510,3582.21075,1652,3919.0809,1767,4191.898275,2021,4794.468825,2250,5337.73125,2522,5983.00365,2728,6471.7026,40.33,2.38,23.72,21.35,11.86,7.12,18.98,7.12,23.72,35.58,16.61,11.86,21.35,23.72,11.86,9.49,11.86,23.72,30.84,66.43,291.80,282.31,419.90,370.08,336.87,272.82,602.57,543.26,645.27,488.70,-37.95,21.34,-2.37,-9.49,-4.74,11.86,-11.86,16.61,11.86,-18.98,-4.74,9.49,2.37,-11.86,-2.37,2.37,11.86,7.12,35.58,225.37,-9.49,137.59,-49.82,-33.21,-64.05,329.75,-59.31,102.01,-156.57
Florida,Berkshire,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foxborough,Norfolk,17671,110,607.3,112,618.35,112,618.35,112,618.35,115,634.91,116,640.43,117,645.9509483,127,701.160431,128,706.6813793,131,723.2442241,134,739.807069,137,756.3699138,145,800.5375,151,833.6631897,156,861.267931,160,883.3517241,162,894.3936207,171,944.0821552,176,971.6868966,185,1021.375431,192,1060.022069,205,1131.794397,216,1192.524828,242,1336.069483,283,1562.428362,319,1761.1825,347,1915.769052,412,2274.63069,468,2583.803793,525,2898.497845,586,3235.27569,11.05,0,0,16.56,5.52,5.52,55.21,5.52,16.56,16.56,16.56,44.17,33.13,27.60,22.08,11.04,49.69,27.60,49.69,38.65,71.77,60.73,143.54,226.36,198.75,154.59,358.86,309.17,314.69,336.78,-11.05,0,16.56,-11.04,0,49.69,-49.69,11.04,0,0,27.6,-11.04,-5.52,-5.52,-11.04,38.65,-22.08,22.08,-11.04,33.13,-11.04,82.81,82.81,-27.6,-44.17,204.28,-49.69,5.52,22.08
Framingham,Middlesex,73123,1681,2257.4,1700,2282.91,1707,2292.31,1720,2309.77,1734,2328.57,1745,2343.34,1756,2358.111771,1775,2383.626648,1802,2419.88463,1827,2453.456837,1857,2493.743484,1897,2547.459014,1960,2632.060974,2024,2718.005822,2064,2771.721352,2146,2881.838189,2203,2958.382819,2255,3028.213009,2338,3139.672734,2435,3269.932894,2498,3354.534854,2586,3472.70902,2671,3586.854521,2832,3803.05953,3054,4101.180722,3221,4325.44306,3488,4683.994223,3928,5274.865054,4335,5821.420573,4681,6286.059908,4998,6711.755484,25.51,9.4,17.46,18.8,14.77,14.77,25.51,36.26,33.57,40.29,53.72,84.60,85.94,53.72,110.12,76.54,69.83,111.46,130.26,84.60,118.17,114.15,216.21,298.12,224.26,358.55,590.87,546.56,464.64,425.70,-16.11,8.06,1.34,-4.03,0,10.74,10.74,-2.69,6.71,13.43,30.89,1.34,-32.23,56.4,-33.57,-6.71,41.63,18.8,-45.66,33.57,-4.03,102.06,81.92,-73.86,134.29,232.32,-44.32,-81.92,-38.94
Franklin,Norfolk,33230,124,366.73,128,378.56,131,387.43,132,390.39,136,402.22,137,405.18,139,411.0950365,140,414.0525547,144,425.8826277,154,455.4578102,159,470.2454015,161,476.160438,165,487.9905109,169,499.8205839,176,520.5232117,181,535.3108029,189,558.9709489,195,576.7160584,206,609.2487591,221,653.6115328,243,718.6769343,248,733.4645255,264,780.7848175,320,946.4058394,376,1112.026861,430,1271.732847,492,1455.098978,568,1679.870365,647,1913.514307,762,2253.628905,849,2510.932993,11.83,8.87,2.96,11.83,2.96,5.92,2.96,11.83,29.58,14.79,5.92,11.83,11.83,20.70,14.79,23.66,17.75,32.53,44.36,65.07,14.79,47.32,165.62,165.62,159.71,183.37,224.77,233.64,340.11,257.30,-2.96,-5.91,8.87,-8.87,2.96,-2.96,8.87,17.75,-14.79,-8.87,5.92,0,8.87,-5.92,8.87,-5.92,14.79,11.83,20.7,-50.28,32.53,118.3,0,-5.92,23.66,41.41,8.87,106.47,-82.81
Freetown,Bristol ,9395,89,983.61,89,983.61,96,1060.97,97,1072.03,99,1094.13,102,1127.29,106,1171.497451,106,1171.497451,108,1193.601176,111,1226.756765,112,1237.808627,112,1237.808627,114,1259.912353,117,1293.067941,118,1304.119804,121,1337.275392,121,1337.275392,126,1392.534706,129,1425.690294,133,1469.897745,134,1480.949608,145,1602.520098,161,1779.349902,181,2000.387157,209,2309.839314,223,2464.565392,250,2762.965686,295,3260.29951,339,3746.581471,415,4586.523039,465,5139.116176,0,77.36,11.06,22.1,33.16,44.21,0.00,22.10,33.16,11.05,0.00,22.10,33.16,11.05,33.16,0.00,55.26,33.16,44.21,11.05,121.57,176.83,221.04,309.45,154.73,298.40,497.33,486.28,839.94,552.59,77.36,-66.3,11.04,11.06,11.05,-44.21,22.1,11.05,-22.1,-11.05,22.1,11.05,-22.1,22.1,-33.16,55.26,-22.1,11.05,-33.16,110.52,55.26,44.21,88.41,-154.73,143.67,198.93,-11.05,353.66,-287.35
Gardner,Worcester,20719,190,950.48,189,945.48,190,950.48,193,965.49,195,975.49,195,975.49,196,980.4925128,197,985.4950256,199,995.5000513,200,1000.502564,202,1010.50759,206,1030.517641,206,1030.517641,207,1035.520154,209,1045.525179,213,1065.535231,213,1065.535231,213,1065.535231,217,1085.545282,221,1105.555333,227,1135.57041,258,1290.648308,289,1445.726205,317,1585.796564,357,1785.897077,409,2046.027744,484,2421.216205,603,3016.515231,704,3521.769026,856,4282.150974,1033,5167.595744,-5,5,15.01,10,0,5.00,5.00,10.01,5.00,10.01,20.01,0.00,5.00,10.01,20.01,0.00,0.00,20.01,20.01,30.02,155.08,155.08,140.07,200.10,260.13,375.19,595.30,505.25,760.38,885.44,10,10.01,-5.01,-10,5,0,5,-5,5,10.01,-20.01,5,5,10.01,-20.01,0,20.01,0,10.01,125.06,0,-15.01,60.03,60.03,115.06,220.11,-90.05,255.13,125.06
Georgetown,Essex,8773,54,604.44,55,615.64,55,615.64,56,626.83,60,671.6,61,682.8,62,693.9934426,62,693.9934426,62,693.9934426,69,772.347541,72,805.9278689,71,794.7344262,72,805.9278689,71,794.7344262,74,828.3147541,75,839.5081967,76,850.7016393,78,873.0885246,80,895.4754098,83,929.0557377,89,996.2163934,97,1085.763934,103,1152.92459,111,1242.472131,126,1410.37377,141,1578.27541,170,1902.885246,195,2182.721311,220,2462.557377,246,2753.586885,275,3078.196721,11.2,0,11.19,44.77,11.2,11.19,0.00,0.00,78.35,33.58,-11.19,11.19,-11.19,33.58,11.19,11.19,22.39,22.39,33.58,67.16,89.55,67.16,89.55,167.90,167.90,324.61,279.84,279.84,291.03,324.61,-11.2,11.19,33.58,-33.57,-0.01,-11.19,0,78.35,-44.77,-44.77,22.39,-22.39,44.77,-22.39,0,11.19,0,11.19,33.58,22.39,-22.39,22.39,78.35,0,156.71,-44.77,0,11.19,33.58
Gill,Franklin,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,402.9550034,10,671.5916723,13,873.0691739,17,1141.705843,16,1074.546676,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,402.96,268.64,201.48,268.64,-67.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.96,-134.32,-67.16,67.16,-335.8
Gloucester,Essex,30401,251,876.86,252,880.35,257,897.82,257,897.82,257,897.82,258,901.31,260,908.2968992,264,922.2706977,270,943.2313953,275,960.6986434,276,964.192093,280,978.1658915,284,992.1396899,287,1002.620039,291,1016.593837,293,1023.580736,294,1027.074186,300,1048.034884,306,1068.995581,343,1198.253217,382,1334.497752,404,1411.353643,410,1432.314341,422,1474.235736,460,1606.986822,503,1757.205155,555,1938.864535,664,2319.650543,755,2637.554457,827,2889.082829,900,3144.104651,3.49,17.47,0,0,3.49,6.99,13.97,20.96,17.47,3.49,13.97,13.97,10.48,13.97,6.99,3.49,20.96,20.96,129.26,136.24,76.86,20.96,41.92,132.75,150.22,181.66,380.79,317.90,251.53,255.02,13.98,-17.47,0,3.49,3.5,6.99,6.99,-3.49,-13.97,10.48,0,-3.49,3.49,-6.99,-3.49,17.47,0,108.3,6.99,-59.39,-55.9,20.96,90.83,17.47,31.44,199.13,-62.88,-66.38,3.49
Goshen,Hampshire,1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,469.924812,5,469.924812,5,469.924812,5,469.924812,5,469.924812,5,469.924812,5,469.924812,5,469.924812,5,469.924812,5,469.924812,5,469.924812,5,469.924812,5,469.924812,5,469.924812,5,469.924812,5,469.924812,6,563.9097744,7,657.8947368,8,751.8796992,10,939.8496241,13,1221.804511,13,1221.804511,13,1221.804511,13,1221.804511,0,0,0,0,0,0.00,469.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.98,93.98,93.98,187.97,281.95,0.00,0.00,0.00,0,0,0,0,0,0,-469.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.98,0,0,93.98,93.98,-281.95,0,0
Gosnold,Dukes,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,5,6666.666667,0,0,0,0,0,0.00,6666.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,-6666.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grafton,Worcester,18885,94,471.31,92,461.28,94,471.31,94,471.31,95,476.33,98,491.37,97,486.3560204,98,491.37,99,496.3839796,102,511.4259184,103,516.439898,106,531.4818367,110,551.5377551,112,561.5657143,112,561.5657143,112,561.5657143,117,586.6356122,119,596.6635714,121,606.6915306,125,626.747449,134,671.8732653,142,711.985102,154,772.1528571,176,882.4604082,218,1093.047551,261,1308.648673,307,1539.291735,387,1940.410102,455,2281.360714,515,2582.19949,560,2807.828571,-10.03,10.03,0,5.02,15.04,-5.01,5.01,5.01,15.04,5.01,15.04,20.06,10.03,0.00,0.00,25.07,10.03,10.03,20.06,45.13,40.11,60.17,110.31,210.59,215.60,230.64,401.12,340.95,300.84,225.63,20.06,-10.03,5.02,10.02,-20.05,10.03,0,10.03,-10.03,10.03,5.01,-10.03,-10.03,0,25.07,-15.04,0,10.03,25.07,-5.01,20.06,50.14,100.28,5.01,15.04,170.48,-60.17,-40.11,-75.21
Granby,Hampshire,6347,28,455.91,28,455.91,28,455.91,28,455.91,28,455.91,31,504.76,32,521.0425806,32,521.0425806,32,521.0425806,38,618.7380645,40,651.3032258,41,667.5858065,42,683.8683871,44,716.4335484,46,748.9987097,46,748.9987097,47,765.2812903,47,765.2812903,49,797.8464516,49,797.8464516,54,879.2593548,62,1009.52,64,1042.085161,73,1188.628387,85,1384.019355,92,1497.997419,104,1693.388387,124,2019.04,136,2214.430968,151,2458.669677,172,2800.603871,0,0,0,0,48.85,16.28,0.00,0.00,97.70,32.57,16.28,16.28,32.57,32.57,0.00,16.28,0.00,32.57,0.00,81.41,130.26,32.57,146.54,195.39,113.98,195.39,325.65,195.39,244.24,341.93,0,0,0,48.85,-32.57,-16.28,0,97.7,-65.13,-16.28,0,16.28,0,-32.57,16.28,-16.28,32.57,-32.57,81.41,48.85,-97.7,113.98,48.85,-81.41,81.41,130.26,-130.26,48.85,97.7
Granville,Hampden,1624,10,642.55,10,642.55,10,642.55,10,642.55,12,771.06,13,835.31,13,835.31,12,771.0553846,12,771.0553846,12,771.0553846,12,771.0553846,12,771.0553846,12,771.0553846,12,771.0553846,12,771.0553846,12,771.0553846,12,771.0553846,12,771.0553846,13,835.31,13,835.31,13,835.31,15,963.8192308,15,963.8192308,17,1092.328462,22,1413.601538,23,1477.856154,28,1799.129231,31,1991.893077,38,2441.675385,41,2634.439231,44,2827.203077,0,0,0,128.51,64.25,0.00,-64.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.25,0.00,0.00,128.51,0.00,128.51,321.27,64.25,321.27,192.76,449.78,192.76,192.76,0,0,128.51,-64.26,-64.25,-64.25,64.25,0,0,0,0,0,0,0,0,0,64.25,-64.25,0,128.51,-128.51,128.51,192.76,-257.02,257.02,-128.51,257.02,-257.02,0
Great Barrington,Berkshire,6852,72,1059.49,72,1059.49,72,1059.49,72,1059.49,73,1074.2,73,1074.2,73,1074.2,73,1074.2,73,1074.2,74,1088.915068,74,1088.915068,75,1103.630137,77,1133.060274,79,1162.490411,78,1147.775342,82,1206.635616,83,1221.350685,83,1221.350685,84,1236.065753,84,1236.065753,84,1236.065753,85,1250.780822,86,1265.49589,86,1265.49589,89,1309.641096,97,1427.361644,104,1530.367123,120,1765.808219,136,2001.249315,146,2148.4,164,2413.271233,0,0,0,14.71,0,0.00,0.00,0.00,14.72,0.00,14.72,29.43,29.43,-14.72,58.86,14.72,0.00,14.72,0.00,0.00,14.72,14.72,0.00,44.15,117.72,103.01,235.44,235.44,147.15,264.87,0,0,14.71,-14.71,0,0,0,14.72,-14.72,14.72,14.72,0,-44.15,73.58,-44.15,-14.72,14.72,-14.72,0,14.72,0,-14.72,44.15,73.58,-14.72,132.44,0,-88.29,117.72
Greenfield,Franklin,17460,193,1111.47,198,1140.26,200,1151.78,201,1157.54,203,1169.06,206,1186.33,209,1203.60665,209,1203.60665,210,1209.365534,215,1238.159951,218,1255.436602,218,1255.436602,223,1284.231019,225,1295.748786,225,1295.748786,226,1301.50767,229,1318.78432,230,1324.543204,231,1330.302087,231,1330.302087,234,1347.578738,243,1399.408689,246,1416.68534,254,1462.756408,260,1497.309709,274,1577.934078,294,1693.111748,359,2067.439175,429,2470.561019,467,2689.398592,495,2850.64733,28.79,11.52,5.76,11.52,17.27,17.28,0.00,5.76,28.79,17.28,0.00,28.79,11.52,0.00,5.76,17.28,5.76,5.76,0.00,17.28,51.83,17.28,46.07,34.55,80.62,115.18,374.33,403.12,218.84,161.25,-17.27,-5.76,5.76,5.75,0.01,-17.28,5.76,23.04,-11.52,-17.28,28.79,-17.28,-11.52,5.76,11.52,-11.52,0,-5.76,17.28,34.55,-34.55,28.79,-11.52,46.07,34.55,259.15,28.79,-184.28,-57.59
Groton,Middlesex,11386,40,343.48,40,343.48,41,352.07,43,369.24,43,369.24,43,369.24,43,369.24,43,369.24,44,377.8269767,44,377.8269767,44,377.8269767,44,377.8269767,45,386.4139535,45,386.4139535,46,395.0009302,46,395.0009302,48,412.1748837,51,437.935814,53,455.1097674,58,498.0446512,59,506.6316279,64,549.5665116,68,583.9144186,75,644.0232558,84,721.3060465,115,987.5023256,138,1185.002791,168,1442.612093,187,1605.764651,213,1829.026047,231,1983.591628,0,8.59,17.17,0,0,0.00,0.00,8.59,0.00,0.00,0.00,8.59,0.00,8.59,0.00,17.17,25.76,17.17,42.93,8.59,42.93,34.35,60.11,77.28,266.20,197.50,257.61,163.15,223.26,154.57,8.59,8.58,-17.17,0,0,0,8.59,-8.59,0,0,8.59,-8.59,8.59,-8.59,17.17,8.59,-8.59,25.76,-34.35,34.35,-8.59,25.76,17.17,188.91,-68.7,60.11,-94.46,60.11,-68.7
Groveland,Essex,6850,30,439,32,468.27,32,468.27,33,482.9,35,512.17,38,556.07,42,614.6036842,42,614.6036842,41,599.9702632,41,599.9702632,42,614.6036842,42,614.6036842,43,629.2371053,43,629.2371053,46,673.1373684,46,673.1373684,48,702.4042105,48,702.4042105,53,775.5713158,54,790.2047368,56,819.4715789,57,834.105,62,907.2721053,67,980.4392105,78,1141.406842,89,1302.374474,106,1551.142632,145,2121.846053,173,2531.581842,202,2955.951053,243,3555.921316,29.27,0,14.63,29.27,43.9,58.53,0.00,-14.63,0.00,14.63,0.00,14.63,0.00,43.90,0.00,29.27,0.00,73.17,14.63,29.27,14.63,73.17,73.17,160.97,160.97,248.77,570.70,409.74,424.37,599.97,-29.27,14.63,14.64,14.63,14.63,-58.53,-14.63,14.63,14.63,-14.63,14.63,-14.63,43.9,-43.9,29.27,-29.27,73.17,-58.53,14.63,-14.63,58.53,0,87.8,0,87.8,321.94,-160.97,14.63,175.6
Hadley,Hampshire,5346,42,730.39,42,730.39,42,730.39,43,747.78,44,765.17,45,782.56,44,765.1697778,45,782.56,45,782.56,45,782.56,45,782.56,46,799.9502222,48,834.7306667,50,869.5111111,50,869.5111111,50,869.5111111,50,869.5111111,50,869.5111111,52,904.2915556,52,904.2915556,53,921.6817778,53,921.6817778,53,921.6817778,56,973.8524444,62,1078.193778,63,1095.584,68,1182.535111,78,1356.437333,94,1634.680889,115,1999.875556,143,2486.801778,0,0,17.39,17.39,17.39,-17.39,17.39,0.00,0.00,0.00,17.39,34.78,34.78,0.00,0.00,0.00,0.00,34.78,0.00,17.39,0.00,0.00,52.17,104.34,17.39,86.95,173.90,278.24,365.19,486.93,0,17.39,0,0,-34.78,34.78,-17.39,0,0,17.39,17.39,0,-34.78,0,0,0,34.78,-34.78,17.39,-17.39,0,52.17,52.17,-86.95,69.56,86.95,104.34,86.95,121.73
Halifax,Plymouth,7890,55,719.76,56,732.85,56,732.85,56,732.85,56,732.85,56,732.85,58,759.0232143,58,759.0232143,59,772.1098214,59,772.1098214,59,772.1098214,59,772.1098214,59,772.1098214,59,772.1098214,62,811.3696429,63,824.45625,68,889.8892857,71,929.1491071,73,955.3223214,74,968.4089286,76,994.5821429,82,1073.101786,83,1086.188393,89,1164.708036,99,1295.574107,106,1387.180357,120,1570.392857,155,2028.424107,187,2447.195536,217,2839.79375,247,3232.391964,13.09,0,0,0,0,26.17,0.00,13.09,0.00,0.00,0.00,0.00,0.00,39.26,13.09,65.43,39.26,26.17,13.09,26.17,78.52,13.09,78.52,130.87,91.61,183.21,458.03,418.77,392.60,392.60,-13.09,0,0,0,26.17,-26.17,13.09,-13.09,0,0,0,0,39.26,-26.17,52.35,-26.17,-13.09,-13.09,13.09,52.35,-65.43,65.43,52.35,-39.26,91.61,274.82,-39.26,-26.17,0
